0000 a02a		;			SC	main
0002 c000		;			HM	/0
0004 0000		;	f	K	/0
0006 3004		;			LV	/4
0008 9062		;			MM	__4_temp
000a 3004		;			LV	/4
000c 405c		;			+	__1_f_a
000e 4064		;			+	__5_const
0010 9014		;			MM	__6_store
0012 8062		;			LD	__4_temp
0014 0000		;	__6_store	K	/0
0016 3006		;			LV	/6
0018 9062		;			MM	__4_temp
001a 805e		;			LD	__2_f_b
001c 4064		;			+	__5_const
001e 9022		;			MM	__7_store
0020 8062		;			LD	__4_temp
0022 0000		;	__7_store	K	/0
0024 3007		;			LV	/7
0026 9060		;			MM	__3_f_c
0028 b004		;			RS	f
002a 0000		;	main	K	/0
002c 805a		;			LD	vet
002e 905c		;			MM	__1_f_a
0030 3006		;			LV	/6
0032 405a		;			+	vet
0034 905e		;			MM	__2_f_b
0036 3012		;			LV	/12
0038 405a		;			+	vet
003a 4066		;			+	__8_const
003c 903e		;			MM	__9_load
003e 0000		;	__9_load	K	/0
0040 9060		;			MM	__3_f_c
0042 a004		;			SC	f
0044 b02a		;			RS	main
				;	__0_data_vet	$	/14
005a 0046		;	vet	K	__0_data_vet
005c 0000		;	__1_f_a	K	/0
005e 0000		;	__2_f_b	K	/0
0060 0000		;	__3_f_c	K	/0
0062 0000		;	__4_temp	K	/0
0064 9000		;	__5_const	K	/9000
0066 8000		;	__8_const	K	/8000
